,Title,Year,IMDB rating,IMDB link,Rating count
77,Dragon Ball Z: Doragon bôru zetto,1989,8.8,https://www.imdb.com/title/tt0121220/,102456.0
78,Freaks and Geeks,1999,8.8,https://www.imdb.com/title/tt0193676/,163686.0
79,Chappelle&apos;s Show,2003,8.8,https://www.imdb.com/title/tt0353049/,78355.0
80,Pride and Prejudice,1995,8.8,https://www.imdb.com/title/tt0112130/,102334.0
81,Twin Peaks,2020,8.7,https://www.imdb.com/title/tt0098936/,243198.0
82,Narcos,2015,8.7,https://www.imdb.com/title/tt2707408/,521806.0
83,Eungdaphara 1988,2020,9,https://www.imdb.com/title/tt5182866/,18472.0
84,"I, Claudius",1976,8.8,https://www.imdb.com/title/tt0074006/,22040.0
85,South Park,2019,8.7,https://www.imdb.com/title/tt0121955/,440971.0
86,Kota Factory,2019,9,https://www.imdb.com/title/tt9432978/,91354.0
87,Kenpuu Denki Berserk,2019,8.7,https://www.imdb.com/title/tt0318871/,75730.0
88,Over the Garden Wall,2014,8.7,https://www.imdb.com/title/tt3718778/,87611.0
89,Ted Lasso,2020,8.8,https://www.imdb.com/title/tt10986410/,433888.0
90,Steins;Gate,2019,8.8,https://www.imdb.com/title/tt1910272/,90357.0
91,Black Mirror,2011,8.7,https://www.imdb.com/title/tt2085059/,729367.0
92,Naui ajusshi,2020,9,https://www.imdb.com/title/tt7923710/,14934.0
93,Peaky Blinders,2017,8.7,https://www.imdb.com/title/tt2442560/,755698.0
94,Six Feet Under,2001,8.7,https://www.imdb.com/title/tt0248654/,165950.0
95,Rome,2005,8.7,https://www.imdb.com/title/tt0384766/,202177.0
96,Oz,1997,8.7,https://www.imdb.com/title/tt0118421/,115907.0
97,Dark,2017,8.7,https://www.imdb.com/title/tt5753856/,532675.0
98,X-Men &apos;97,2024,8.7,https://www.imdb.com/title/tt16026746/,51324.0
99,The Grand Tour,2016,8.7,https://www.imdb.com/title/tt5712554/,93972.0
100,Monster,2023,8.7,https://www.imdb.com/title/tt0434706/,67142.0
101,The Shield,2002,8.7,https://www.imdb.com/title/tt0286486/,96591.0
102,Downton Abbey,2010,8.7,https://www.imdb.com/title/tt1606375/,244385.0
103,Fleabag,2016,8.7,https://www.imdb.com/title/tt5687612/,241871.0
104,Naruto: Shippûden,2009,8.7,https://www.imdb.com/title/tt0988824/,216730.0
105,Battlestar Galactica,2005,8.7,https://www.imdb.com/title/tt0407362/,185770.0
106,Heated Rivalry,2026,8.9,https://www.imdb.com/title/tt35495073/,86735.0
