,Title,Year,IMDB rating,IMDB link,Rating count
75,Coco,2017,8.4,https://www.imdb.com/title/tt2380307/,695610.0
76,Amadeus,1984,8.4,https://www.imdb.com/title/tt0086879/,464690.0
77,Toy Story,1995,8.3,https://www.imdb.com/title/tt0114709/,1162441.0
78,Kimi no na wa.,2016,8.4,https://www.imdb.com/title/tt5311514/,384846.0
79,Das Boot,1981,8.4,https://www.imdb.com/title/tt0082096/,286312.0
80,Oldeuboi,2017,8.3,https://www.imdb.com/title/tt0364569/,710219.0
81,Braveheart,1995,8.3,https://www.imdb.com/title/tt0112573/,1154346.0
82,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,https://www.imdb.com/title/tt0057012/,548804.0
83,Mononoke-hime,2020,8.3,https://www.imdb.com/title/tt0119698/,478780.0
84,3 Idiots,2009,8.4,https://www.imdb.com/title/tt1187043/,477162.0
85,American Beauty,2020,8.3,https://www.imdb.com/title/tt0169547/,1273712.0
86,Capharnaüm,2019,8.4,https://www.imdb.com/title/tt8267604/,122592.0
87,Singin&apos; in the Rain,1952,8.3,https://www.imdb.com/title/tt0045152/,280619.0
88,Joker,2019,8.3,https://www.imdb.com/title/tt7286456/,1674226.0
89,C&apos;era una volta in America,,8.3,https://www.imdb.com/title/tt0087843/,406111.0
90,Idi i smotri,1985,8.3,https://www.imdb.com/title/tt0091251/,120669.0
91,Star Wars: Episode VI - Return of the Jedi,1983,8.3,https://www.imdb.com/title/tt0086190/,1199819.0
92,Requiem for a Dream,2017,8.3,https://www.imdb.com/title/tt0180093/,966349.0
93,Toy Story 3,2010,8.3,https://www.imdb.com/title/tt0435761/,961260.0
94,Ikiru,1952,8.3,https://www.imdb.com/title/tt0044741/,101256.0
95,Jagten,2012,8.3,https://www.imdb.com/title/tt2106476/,404916.0
96,Incendies,2020,8.3,https://www.imdb.com/title/tt1255953/,246093.0
97,Eternal Sunshine of the Spotless Mind,2019,8.3,https://www.imdb.com/title/tt0338013/,1172988.0
98,The Apartment,1960,8.3,https://www.imdb.com/title/tt0053604/,217477.0
99,Lawrence of Arabia,2016,8.3,https://www.imdb.com/title/tt0056172/,339270.0
100,2001: A Space Odyssey,2017,8.3,https://www.imdb.com/title/tt0062622/,776694.0
101,Reservoir Dogs,1992,8.3,https://www.imdb.com/title/tt0105236/,1162451.0
102,Heat,1995,8.3,https://www.imdb.com/title/tt0113277/,793207.0
103,Scarface,,8.3,https://www.imdb.com/title/tt0086250/,1004914.0
104,Double Indemnity,1944,8.3,https://www.imdb.com/title/tt0036775/,180121.0
105,Up,2009,8.3,https://www.imdb.com/title/tt1049413/,1224058.0
106,North by Northwest,1959,8.3,https://www.imdb.com/title/tt0053125/,368007.0
107,Taare Zameen Par,2007,8.3,https://www.imdb.com/title/tt0986264/,229956.0
108,Full Metal Jacket,1987,8.2,https://www.imdb.com/title/tt0093058/,844958.0
109,M - Eine Stadt sucht einen Mörder,1931,8.3,https://www.imdb.com/title/tt0022100/,181792.0
110,Citizen Kane,2020,8.2,https://www.imdb.com/title/tt0033467/,491407.0
111,Le fabuleux destin d&apos;Amélie Poulain,2001,8.3,https://www.imdb.com/title/tt0211915/,835215.0
112,Vertigo,2014,8.2,https://www.imdb.com/title/tt0052357/,456751.0
113,Jodaeiye Nader az Simin,2012,8.3,https://www.imdb.com/title/tt1832382/,276169.0
114,Die Hard,2013,8.2,https://www.imdb.com/title/tt0095016/,1023191.0
115,To Kill a Mockingbird,1963,8.2,https://www.imdb.com/title/tt0056592/,349953.0
116,The Sting,1973,8.2,https://www.imdb.com/title/tt0070735/,298469.0
117,Indiana Jones and the Last Crusade,1990,8.2,https://www.imdb.com/title/tt0097576/,858641.0
118,A Clockwork Orange,2017,8.2,https://www.imdb.com/title/tt0066921/,931590.0
119,Metropolis,1927,8.2,https://www.imdb.com/title/tt0017136/,199864.0
120,1917,2020,8.2,https://www.imdb.com/title/tt8579674/,761832.0
121,Snatch,2019,8.2,https://www.imdb.com/title/tt0208092/,970422.0
122,L.A. Confidential,1997,8.2,https://www.imdb.com/title/tt0119488/,655294.0
123,Der Untergang,2006,8.2,https://www.imdb.com/title/tt0363163/,398069.0
124,The Wolf of Wall Street,2014,8.2,https://www.imdb.com/title/tt0993846/,1764040.0
125,Dangal,2016,8.3,https://www.imdb.com/title/tt5074352/,239733.0
126,Ladri di biciclette,1948,8.2,https://www.imdb.com/title/tt0040522/,191453.0
127,The Truman Show,1998,8.2,https://www.imdb.com/title/tt0120382/,1353451.0
128,Oppenheimer,2023,8.2,https://www.imdb.com/title/tt15398776/,1002480.0
129,Green Book,2018,8.2,https://www.imdb.com/title/tt6966692/,674301.0
130,Shutter Island,2010,8.2,https://www.imdb.com/title/tt1130884/,1624285.0
131,Judgment at Nuremberg,1961,8.3,https://www.imdb.com/title/tt0055031/,96024.0
132,Batman Begins,2005,8.2,https://www.imdb.com/title/tt0372784/,1698738.0
133,Hamilton,2020,8.3,https://www.imdb.com/title/tt8503618/,137273.0
134,Per qualche dollaro in più,1965,8.2,https://www.imdb.com/title/tt0059578/,297958.0
135,Taxi Driver,1978,8.2,https://www.imdb.com/title/tt0075314/,1016523.0
136,Jurassic Park,1994,8.2,https://www.imdb.com/title/tt0107290/,1165907.0
137,Some Like It Hot,1959,8.2,https://www.imdb.com/title/tt0053291/,303087.0
138,There Will Be Blood,2008,8.2,https://www.imdb.com/title/tt0469494/,701159.0
139,The Kid,2015,8.2,https://www.imdb.com/title/tt0012349/,144796.0
140,The Father,2021,8.2,https://www.imdb.com/title/tt10272386/,241324.0
141,All About Eve,1951,8.2,https://www.imdb.com/title/tt0042192/,148320.0
142,The Sixth Sense,2019,8.2,https://www.imdb.com/title/tt0167404/,1135062.0
143,Ran,1985,8.2,https://www.imdb.com/title/tt0089881/,150457.0
144,Casino,2013,8.2,https://www.imdb.com/title/tt0112641/,613426.0
145,No Country for Old Men,2008,8.2,https://www.imdb.com/title/tt0477348/,1174836.0
146,The Thing,1982,8.2,https://www.imdb.com/title/tt0084787/,520862.0
147,Top Gun: Maverick,2022,8.2,https://www.imdb.com/title/tt1745960/,844792.0
148,Prisoners,2013,8.2,https://www.imdb.com/title/tt1392214/,921050.0
149,Kill Bill: Vol. 1,2003,8.2,https://www.imdb.com/title/tt0266697/,1294463.0
150,El laberinto del fauno,2018,8.2,https://www.imdb.com/title/tt0457430/,742957.0
151,Unforgiven,2020,8.2,https://www.imdb.com/title/tt0105695/,465688.0
152,A Beautiful Mind,2020,8.2,https://www.imdb.com/title/tt0268978/,1047402.0
153,The Treasure of the Sierra Madre,1948,8.2,https://www.imdb.com/title/tt0040897/,140645.0
154,Hauru no ugoku shiro,2020,8.2,https://www.imdb.com/title/tt0347149/,506065.0
